GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPMML-LightGBM,org.jpmml.lightgbm.visitors,TreeModelCompactor,20,140,10,18,5,43,10,9,0,5
JPMML-LightGBM,org.jpmml.lightgbm,LightGBMUtil,33,358,7,39,4,83,7,35,0,19
JPMML-LightGBM,org.jpmml.lightgbm,Regression,8,25,3,1,1,7,2,3,0,3
JPMML-LightGBM,org.jpmml.lightgbm,StreamProvider,54,0,6,0,16,0,8,0,5,0
JPMML-LightGBM,org.jpmml.lightgbm,PandasCategoricalParserTokenManager,753,1228,118,123,197,240,102,76,11,29
JPMML-LightGBM,org.jpmml.lightgbm,TokenMgrException,175,0,17,0,37,0,18,0,6,0
JPMML-LightGBM,org.jpmml.lightgbm,DirectCategoricalFeature,0,5,0,0,0,2,0,1,0,1
JPMML-LightGBM,org.jpmml.lightgbm,PandasCategoricalParser.LookaheadSuccess,0,2,0,0,0,1,0,1,0,1
JPMML-LightGBM,org.jpmml.lightgbm,GBDT,110,768,34,76,28,174,35,45,1,18
JPMML-LightGBM,org.jpmml.lightgbm,BinaryCategoricalFeature,0,17,0,0,0,2,0,1,0,1
JPMML-LightGBM,org.jpmml.lightgbm,ParseException,340,0,33,0,71,0,27,0,7,0
JPMML-LightGBM,org.jpmml.lightgbm,PandasCategoricalParser,654,584,95,57,117,122,68,39,12,15
JPMML-LightGBM,org.jpmml.lightgbm,BinomialLogisticRegression,0,35,0,0,0,7,0,2,0,2
JPMML-LightGBM,org.jpmml.lightgbm,HasLightGBMOptions,11,0,0,0,3,0,1,0,1,0
JPMML-LightGBM,org.jpmml.lightgbm,PandasCategoricalParser.JJCalls,0,3,0,0,0,1,0,1,0,1
JPMML-LightGBM,org.jpmml.lightgbm,Lambdarank,4,0,0,0,2,0,1,0,1,0
JPMML-LightGBM,org.jpmml.lightgbm,ObjectiveFunction,17,72,1,7,2,17,2,5,1,2
JPMML-LightGBM,org.jpmml.lightgbm,PoissonRegression,0,26,0,0,0,6,0,2,0,2
JPMML-LightGBM,org.jpmml.lightgbm,Token,14,20,0,0,5,7,4,3,4,3
JPMML-LightGBM,org.jpmml.lightgbm,SimpleCharStream,708,242,44,12,120,53,41,14,14,12
JPMML-LightGBM,org.jpmml.lightgbm,Main,213,0,4,0,63,0,6,0,4,0
JPMML-LightGBM,org.jpmml.lightgbm,StringProvider,8,57,3,3,3,15,4,2,1,2
JPMML-LightGBM,org.jpmml.lightgbm,GBDT.new Function() {...},62,112,13,13,13,25,9,6,0,2
JPMML-LightGBM,org.jpmml.lightgbm,LightGBMEncoder,0,3,0,0,0,1,0,1,0,1
JPMML-LightGBM,org.jpmml.lightgbm,Section,18,186,3,15,5,37,5,21,2,15
JPMML-LightGBM,org.jpmml.lightgbm,PandasCategoricalParserConstants,64,0,0,0,1,0,1,0,1,0
JPMML-LightGBM,org.jpmml.lightgbm,Classification,35,26,3,1,4,7,3,2,1,2
JPMML-LightGBM,org.jpmml.lightgbm,MultinomialLogisticRegression,5,71,1,3,1,11,1,3,0,2
JPMML-LightGBM,org.jpmml.lightgbm,Tree,160,705,23,69,25,137,21,39,1,13
